player_name,fta,ftm,ft_pct,shrinkage_c,ft_pct_js,ft_pct_truth
LeBron James,38,23,0.6052631578947368,0.29827950724441676,0.6750688059148283,0.754
Darko Milicic,3,1,0.3333333333333333,0.6687123847904083,0.4563760971006645,0.583
Carmelo Anthony,60,43,0.7166666666666667,0.28450513856400733,0.7081339212371557,0.777
Chris Bosh,27,23,0.8518518518518519,0.2905776104228258,0.7474881275219531,0.701
Dwyane Wade,36,24,0.6666666666666666,0.2977289204604524,0.6934051774851336,0.747
Chris Kaman,17,12,0.7058823529411765,0.3275398956711182,0.7051148459444393,0.697
Kirk Hinrich,22,15,0.6818181818181818,0.31574952724397826,0.6975031384455169,0.804
T.J. Ford,17,15,0.8823529411764706,0.297409036555851,0.7575644039553097,0.816
Michael Sweetney,6,5,0.8333333333333334,0.38508729307094114,0.7542602802476457,0.724
Jarvis Hayes,11,9,0.8181818181818182,0.3342111295612965,0.742654191231435,0.786
Mickael Pietrus,17,10,0.5882352941176471,0.3379249537477268,0.6653708219364585,0.693
Marcus Banks,19,14,0.7368421052631579,0.31746287190021893,0.7149319164988857,0.756
Luke Ridnour,10,8,0.8,0.3469917630053028,0.7377950954615095,0.823
Reece Gaines,2,1,0.5,0.8667755221083263,0.5272765142784517,0.64
Troy Bell,3,3,1.0,0.2689414213699951,0.7841483830914151,1.0
Zarko Cabarkapa,14,9,0.6428571428571429,0.34907461597951256,0.6831389234192372,0.66
David West,16,11,0.6875,0.3337207309537253,0.6989873281314977,0.713
Sasha Pavlovic,6,6,1.0,0.2689414213699951,0.7841483830914151,0.774
Dahntay Jones,10,4,0.4,0.38973338649523004,0.5859732647101107,0.455
Boris Diaw,8,4,0.5,0.43000913792000317,0.6167005052986868,0.602
Zoran Planinic,12,8,0.6666666666666666,0.3602202747551332,0.6910258601509149,0.633
Travis Outlaw,4,2,0.5,0.6073942743358257,0.5803824931525593,0.5
Brian Cook,17,14,0.8235294117647058,0.309270274379049,0.7414787322195883,0.75
Kendrick Perkins,9,6,0.6666666666666666,0.3935189420249835,0.6897580352311998,0.667
Leandro Barbosa,4,2,0.5,0.6073942743358257,0.5803824931525593,0.77
Josh Howard,7,3,0.42857142857142855,0.45116454822504104,0.5801430860481698,0.703
Maciej Lampe,11,8,0.7272727272727273,0.3576451488131329,0.712799369946874,0.769
Jason Kapono,5,5,1.0,0.2689414213699951,0.7841483830914151,0.833
Luke Walton,5,4,0.8,0.4342388160070141,0.7461061615335293,0.705
Travis Hansen,2,2,1.0,0.2689414213699951,0.7841483830914151,0.815
Steve Blake,2,2,1.0,0.2689414213699951,0.7841483830914151,0.821
Willie Green,10,7,0.7,0.373465333705771,0.7029704076740669,0.728
Zaza Pachulia,4,3,0.75,0.5193101896159968,0.7282444651051642,0.644
Keith Bogans,18,6,0.3333333333333333,0.32821440937426527,0.5828396593617449,0.631
Mo Williams,10,6,0.6,0.38973338649523004,0.6639199420091567,0.786
James Jones,2,2,1.0,0.2689414213699951,0.7841483830914151,1.0
Kyle Korver,2,2,1.0,0.2689414213699951,0.7841483830914151,0.792
Brandon Hunter,3,1,0.3333333333333333,0.6687123847904083,0.4563760971006645,0.442
